time_sec,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16
12.75,140.7128935068264,180.43945938015497,50.80078187658794,88.50585764240287,269.12109194084803,191.1621050562663,179.7363323862372,179.73633238623717,267.62694707877273,190.98632330778685,178.76953276960023,180.7910092167355,267.2753835818139,187.3828111243365,178.68164189536049,180.26367763167548
12.76,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.73626488604575,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.38246799836344,178.68367252611893,180.2636776316755
12.77,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.7360736355034,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.38147237054008,178.68621503332895,180.2636776316755
12.780000000000001,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.73577550965797,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.37987486600989,178.68921879184694,180.2636776316755
12.790000000000001,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.73538738355734,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.37772610991647,178.6926331765294,180.2636776316755
12.8,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.73492613224934,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.3750767274034,178.69640756223274,180.2636776316755
12.81,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.73440863078181,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.3719773436142,178.70049132381345,180.2636776316755
12.82,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.73385175420265,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.36847858369245,178.70483383612788,180.2636776316755
12.83,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.73327237755964,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.36463107278172,178.7093844740325,180.2636776316755
12.84,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.73268737590072,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.3604854360256,178.71409261238375,180.2636776316755
12.85,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.73211362427367,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.3560922985676,178.71890762603815,180.2636776316755
12.86,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.7315679977264,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.3515022855513,178.723778889852,180.2636776316755
12.870000000000001,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.7310673713067,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.34676602212028,178.7286557786818,180.2636776316755
12.88,140.7128935068264,180.43945938015494,50.80078187658795,88.50585764240286,269.1210919408481,191.16210505626628,179.73633238623717,179.7306286200625,267.6269470787728,190.98632330778682,178.7695327696002,180.79100921673552,267.2753835818139,187.34193413341808,178.733487667384,180.2636776316755
